Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
86400 315.6 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 43.7
86400 371.1 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 36.9
86400 426.7 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 31.2
86400 482.2 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 24.9
86400 537.8 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 20.7
86400 593.3 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 14.8
86400 648.9 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 9.2
86400 704.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 5.0
3600 204.4 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 51.5
3600 260 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 49.0
3600 315.6 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 46.0
3600 371.1 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 41.5
3600 426.7 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 37.0
3600 482.2 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 32.5
3600 537.8 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 28.0
3600 593.3 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 22.2
3600 648.9 0.39 0.75 0.048 0.043 0.18 0 0 0 0 0 0 18.2
600 204.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 53.2
600 260 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 51.9
600 315.6 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 48.9
600 371.1 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 44.9
600 426.7 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 40.0
600 482.2 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 35.1
600 537.8 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 30.7
600 593.3 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 27.7
600 648.9 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 24.1
600 704.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 20.0
3600 204.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 52.6
3600 260 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 50.4
3600 315.6 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 47.6
3600 371.1 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 42.8
3600 426.7 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 37.9
3600 482.2 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 33.0
3600 537.8 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 28.3
3600 593.3 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 24.6
3600 648.9 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 20.9
3600 704.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 16.3
14400 204.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 51.0
14400 260 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 49.5
14400 315.6 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 46.5
14400 371.1 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 41.2
14400 426.7 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 35.4
14400 482.2 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 30.9
14400 537.8 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 26.5
14400 593.3 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 22.9
14400 648.9 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 17.3
14400 704.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 12.6
86400 204.4 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 50.6
86400 260 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 48.5
86400 315.6 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 44.9
86400 371.1 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 38.4
86400 426.7 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 33.0
86400 482.2 0.4 0.6 0.01 0.013 0.27 0.02 0.07 0.01 0 0 0 27.8
