"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %",YieldStress
0.1445,0.34,1.445,0.017,0.0085,0.0,0.07,0.07,0.0115,0.00425,0.45,0.0,0.17,625.0
0.0935,0.85,2.465,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,665.0
0.1955,0.85,2.465,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,775.0
0.0935,0.85,2.465,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,775.0
0.1955,0.85,2.465,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,865.0
0.1955,0.85,2.465,0.0425,0.0085,0.0,0.07,0.07,0.8725,0.00425,0.45,0.0,0.17,1000.0
0.204,1.7,1.87,0.0425,0.0085,0.0,0.09,0.09,1.70225,0.00425,0.25,0.0,0.17,460.0
0.2125,1.87,2.125,0.0425,0.0085,0.0,0.09,0.09,1.70225,0.00425,0.25,0.0,0.17,510.0
0.085,0.34,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0.153,0.85,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,560.0
0.153,0.85,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,645.0
0.1955,0.85,2.295,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,865.0
0.221,1.87,2.125,0.0425,0.0085,0.0,0.07,0.07,1.70225,0.00425,0.65,0.0,0.17,675.0
0.1955,1.53,2.125,0.034,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.25,0.0,0.17,760.0
0.221,1.87,2.55,0.0425,0.0085,0.0,0.07,0.07,1.70225,0.00425,0.65,0.0,0.17,955.0
0.1275,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,380.0
0.1955,1.02,2.465,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,775.0
0.17,1.02,2.295,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,865.0
0.085,0.051,0.51,0.0255,0.02125,0.0,0.068,0.1275,0.17225,0.00085,0.0,0.0,0.17,363.0
0.085,0.425,1.445,0.0255,0.02125,0.0,0.085,0.0765,0.17225,0.00085,0.17,0.0,0.17,340.0
0.085,0.51,1.53,0.0255,0.0085,0.0,0.085,0.0425,0.0865,0.00425,0.17,0.0,0.17,968.0
