Standard,SteelGrade,"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %","wt_As, %",YieldStress,TensileStrength,Elongation
Arcelor,BH180_arcelor_arcelor_arcelor,0.051,0.425,0.595,0.051,0.02125,0,0,0,0.01725,0,0,0,0.17,0,210,330,0
Arcelor,BH195_arcelor_arcelor_arcelor,0.051,0.425,0.595,0.068,0.02125,0,0,0,0.01725,0,0,0,0.17,0,232.5,370,0
Arcelor,BH210 / BH220_arcelor_arcelor_arcelor,0.068,0.425,0.595,0.07225,0.02125,0,0,0,0.01725,0,0,0,0.17,0,240,360,0
Arcelor,BH240 / BH260_arcelor_arcelor_arcelor,0.085,0.425,0.85,0.085,0.0255,0,0,0,0.01725,0,0,0,0.17,0,270,390,0
Arcelor,BH270 / BH300_arcelor_arcelor_arcelor,0.085,0.425,0.85,0.085,0.0255,0,0,0,0.01725,0,0,0,0.17,0,300,410,0
Arcelor,IF180_arcelor_arcelor_arcelor,0.0085,0.255,0.595,0.051,0.02125,0,0.0765,0.102,0.0115,0,0,0,0.17,0,210,360,0
Arcelor,IF210 / IF220_arcelor_arcelor_arcelor,0.0085,0.255,0.765,0.068,0.02125,0,0.0765,0.102,0.0115,0,0,0,0.17,0,240,380,0
Arcelor,IF240 / IF260_arcelor_arcelor_arcelor,0.0085,0.255,0.85,0.085,0.02125,0,0.0765,0.102,0.0115,0,0,0,0.17,0,270,400,0
Arcelor,IF280 / IF300_arcelor_arcelor_arcelor,0.01275,0.255,1.36,0.0935,0.02125,0,0.0765,0.102,0.0115,0,0,0,0.17,0,300,418,0
Arcelor,P180_arcelor_arcelor_arcelor,0.051,0.425,0.595,0.085,0.0255,0,0.0425,0.255,0.01725,0,0,0,0.17,0,210,330,0
Arcelor,P210 / P220_arcelor_arcelor_arcelor,0.068,0.425,0.595,0.085,0.02125,0,0,0,0.01725,0,0,0,0.17,0,240,360,0
Arcelor,P240 / P260_arcelor_arcelor_arcelor,0.085,0.425,0.85,0.085,0.0255,0,0,0,0.0115,0,0,0,0.17,0,270,390,0
Arcelor,P280 / P300_arcelor_arcelor_arcelor,0.068,0.425,0.595,0.085,0.02125,0,0,0,0.023,0,0,0,0.17,0,310,417.5,0
Arcelor,DP450_arcelor_arcelor_arcelor,0.119,0.425,1.53,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,300,500,0
Arcelor,DP500 / FF280DP_arcelor_arcelor_arcelor,0.119,0.425,1.53,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.45,0,0.17,0,335,545,0
Arcelor,DP600_arcelor_arcelor_arcelor,0.1275,0.68,2.125,0.0425,0.0085,0,0.07,0.07,1.2765,0.00425,0.65,0,0.17,0,380,645,0
Arcelor,DP600Y420_arcelor_arcelor_arcelor,0.1275,0.68,2.125,0.0425,0.0085,0,0.07,0.07,1.2765,0.00425,0.65,0,0.17,0,460,635,0
Arcelor,DP780Y450_arcelor_arcelor_arcelor,0.153,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,495,840,0
Arcelor,DP780Y450 LCE_arcelor_arcelor_arcelor,0.085,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,495,840,0
Arcelor,DP780Y500_arcelor_arcelor_arcelor,0.153,0.68,2.125,0.0425,0.0085,0,0.07,0.07,0.85225,0.00425,0.65,0,0.17,0,560,840,0
